n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
2000,0.0275,4,0.000052,0.000055,0.95,4681888117873967104,4682248333917771093,0.95,PASS
8000,0.0138,4,0.000214,0.000204,1.05,4691072325329546991,4690736079211890825,1.05,PASS
32000,0.0069,4,0.000902,0.000857,1.05,4700481315338854946,4700100370780721425,1.05,PASS
128000,0.0034,4,0.003916,0.003676,1.07,4710163629586478967,4709648102729204804,1.07,PASS
