n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.0100,24,0.000107,0.000085,1.27,214137,168616,1.27,PASS
2048,0.0100,37,0.000408,0.000284,1.44,815512,566224,1.44,PASS
4096,0.0100,64,0.001314,0.001029,1.28,2626034,2056837,1.28,PASS
8192,0.0100,117,0.005410,0.004407,1.23,10816645,8808682,1.23,PASS
16384,0.0100,215,0.023100,0.020168,1.15,46194610,40331959,1.15,PASS
32768,0.0100,401,0.104379,0.095097,1.10,208753459,190189267,1.10,PASS
1024,0.0200,38,0.000190,0.000134,1.41,378093,268066,1.41,PASS
2048,0.0200,62,0.000642,0.000458,1.40,1279416,913123,1.40,PASS
4096,0.0200,113,0.002281,0.001783,1.28,4556174,3562485,1.28,PASS
8192,0.0200,213,0.009590,0.007863,1.22,19175572,15721928,1.22,PASS
16384,0.0200,399,0.040290,0.036108,1.12,80575911,72213247,1.12,PASS
32768,0.0200,756,0.173980,0.162416,1.07,347954174,324827163,1.07,PASS
1024,0.0500,72,0.000339,0.000258,1.32,676154,512964,1.32,PASS
2048,0.0500,134,0.001240,0.000961,1.29,2476042,1919318,1.29,PASS
4096,0.0500,257,0.004678,0.004003,1.17,9352273,8002536,1.17,PASS
8192,0.0500,489,0.019574,0.017399,1.13,39143620,34794159,1.13,PASS
16384,0.0500,926,0.079353,0.073545,1.08,158702268,147084906,1.08,PASS
32768,0.0500,1802,0.346034,0.409053,0.85,692062028,818099381,0.85,PASS
1024,0.1000,132,0.000586,0.000458,1.28,1168793,912757,1.28,PASS
2048,0.1000,255,0.002115,0.001769,1.20,4226773,3533319,1.20,PASS
4096,0.1000,472,0.008256,0.007281,1.13,16506828,14557696,1.13,PASS
8192,0.1000,917,0.034519,0.030801,1.12,69033511,61597975,1.12,PASS
16384,0.1000,1786,0.134703,0.129860,1.04,269402452,259715485,1.04,PASS
32768,0.1000,3493,0.596232,0.586808,1.02,1192457012,1173610527,1.02,PASS
1024,0.2000,249,0.001018,0.000851,1.20,2032468,1697943,1.20,PASS
2048,0.2000,481,0.003905,0.003388,1.15,7804281,6773158,1.15,PASS
4096,0.2000,912,0.015058,0.013415,1.12,30111735,26826655,1.12,PASS
8192,0.2000,1789,0.059217,0.055820,1.06,118429323,111636431,1.06,PASS
16384,0.2000,3480,0.255362,0.241581,1.06,510719233,483156976,1.06,PASS
32768,0.2000,6883,1.050073,1.032756,1.02,2100138617,2065503783,1.02,PASS
