n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
2000,0.0275,4,0.000033,0.000038,0.89,66052,75012,0.88,PASS
8000,0.0138,4,0.000141,0.000128,1.11,282068,255350,1.10,PASS
32000,0.0069,4,0.000744,0.000798,0.93,1485151,1594208,0.93,PASS
128000,0.0034,4,0.004129,0.004165,0.99,8254159,8326375,0.99,PASS
