n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000002,0.000002,1.00,4386,4344,1.01,PASS
2048,0.000006,0.000004,1.60,9834,7666,1.28,PASS
4096,0.000010,0.000007,1.31,18444,13925,1.32,PASS
8192,0.000020,0.000013,1.50,36490,25930,1.41,PASS
16384,0.000037,0.000025,1.47,74286,49939,1.49,PASS
32768,0.000075,0.000056,1.33,148706,111850,1.33,PASS
65536,0.000171,0.000167,1.02,341759,333264,1.03,PASS
131072,0.000361,0.000350,1.03,720241,697669,1.03,PASS
262144,0.000691,0.000698,0.99,1379756,1393041,0.99,PASS
524288,0.001435,0.001419,1.01,2866837,2835078,1.01,PASS
1048576,0.002911,0.002766,1.05,5818596,5527866,1.05,PASS
