n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
2000,0.0275,4,0.000033,0.000031,1.05,64480,61360,1.05,PASS
8000,0.0138,4,0.000137,0.000127,1.08,272554,253387,1.08,PASS
32000,0.0069,4,0.000775,0.000808,0.96,1546511,1611665,0.96,PASS
128000,0.0034,4,0.004037,0.004043,1.00,8068762,8082442,1.00,PASS
